Date,EUR,JPY,GBP,CNY
2017-01-14,0.939645,114.497,0.8203,6.9001
2017-01-15,0.940959,114.225,0.830702,6.89995
2017-01-16,0.943189,114.15525709,0.830559,6.9015
2017-01-17,0.934869,112.8963,0.807212,6.85825
2017-01-18,0.940891,114.71758333,0.815634,6.839
2017-01-19,0.938174,114.9415,0.810495,6.8716
2017-01-20,0.93447,114.595,0.808738,6.8765
2017-01-21,0.934781,114.596,0.808016,6.8764
2017-01-22,0.933389,113.80380006,0.807385,6.8765
2017-01-23,0.929433,112.78708333,0.799041,6.854
2017-01-24,0.932104,113.866,0.797894,6.8592
2017-01-25,0.930025,113.2755,0.791485,6.8836
2017-01-26,0.936035,114.426,0.79391,6.8794
2017-01-27,0.934798,115.0905,0.796943,6.8811
2017-01-28,0.934798,115.075,0.79694,6.8811
2017-01-29,0.933099,114.65483333,0.79394,6.8812
2017-01-30,0.933894,113.688,0.799984,6.8817
2017-01-31,0.925752,112.7767,0.794404,6.87895
2017-02-01,0.928581,113.2895,0.789817,6.881581
2017-02-02,0.929325,112.8155,0.798756,6.8804
2017-02-03,0.926956,112.5725,0.801038,6.87085
2017-02-04,0.926956,112.705,0.801035,6.87085
2017-02-05,0.927417,112.64730556,0.801061,6.8711
2017-02-06,0.930882,111.827,0.802053,6.86392
2017-02-07,0.936492,112.38875,0.800264,6.8855
2017-02-08,0.935326,111.9725,0.798483,6.87335
2017-02-09,0.938295,113.43135714,0.8001,6.869356
2017-02-10,0.939938,113.22,0.800801,6.881114
2017-02-11,0.939938,113.18622754,0.80077,6.8773
2017-02-12,0.9417,113.9289409,0.801057,6.89545
2017-02-13,0.943481,113.68875,0.798502,6.879337
2017-02-14,0.94532,114.2903,0.801937,6.867412
2017-02-15,0.943099,114.12733333,0.802089,6.86905
2017-02-16,0.937044,113.3203,0.800867,6.853322
2017-02-17,0.942063,112.85,0.805704,6.8649
2017-02-18,0.942063,112.875,0.8058,6.8665
2017-02-19,0.941079,112.92225,0.804532,6.857007
2017-02-20,0.942596,113.27535714,0.801802,6.879128
2017-02-21,0.948605,113.6733,0.800834,6.883448
2017-02-22,0.947777,113.4163453,0.803067,6.874485
2017-02-23,0.944835,112.6973,0.796492,6.86608
2017-02-24,0.947418,112.17053444,0.802245,6.86685
2017-02-25,0.94689,112.144,0.802472,6.86755
2017-02-26,0.94767,112.185,0.806433,6.902013
2017-02-27,0.944689,112.74725,0.803997,6.8709
2017-02-28,0.94614,113.0955,0.807853,6.86765
2017-03-01,0.949132,114.12616667,0.814956,6.88275
2017-03-02,0.951748,114.355,0.814732,6.887657
2017-03-03,0.941398,114.045,0.813205,6.8954
2017-03-04,0.941354,114.0485,0.813315,6.8953
2017-03-05,0.941535,113.82418182,0.812984,6.89685
2017-03-06,0.945251,113.905,0.81707,6.896807
2017-03-07,0.94611,113.9255,0.819437,6.902476
2017-03-08,0.948321,114.417,0.821429,6.913885
2017-03-09,0.94522,115.14371429,0.822645,6.9098
2017-03-10,0.936922,114.801,0.822206,6.90775
2017-03-11,0.936775,114.781,0.822165,6.9071
2017-03-12,0.935457,114.76036364,0.821654,6.859166
2017-03-13,0.938883,114.916,0.819252,6.9132
2017-03-14,0.942333,114.6565,0.822572,6.91542
2017-03-15,0.931318,113.3911875,0.814179,6.914367
2017-03-16,0.928335,113.31946894,0.809725,6.897886
2017-03-17,0.930449,112.675,0.806614,6.89605
2017-03-18,0.9306,112.715,0.807045,6.89715
2017-03-19,0.930895,112.6785,0.807512,6.904329
2017-03-20,0.931359,112.56742308,0.808594,6.906748
2017-03-21,0.924836,111.53398075,0.801158,6.8851
2017-03-22,0.926797,111.37363333,0.801815,6.8833
2017-03-23,0.927353,110.9965,0.798945,6.8861
2017-03-24,0.925883,111.335,0.801828,6.8779
2017-03-25,0.925455,111.343,0.8017,6.8836
2017-03-26,0.922046,110.555,0.799123,6.854197
